"","FID1","IID1","FID2","IID2","NSNP","HETHET","IBS0","KINSHIP"
"77",0,"E32M",0,"E30M",1112748,0.0682589,0.000312739,0.239933
"78",0,"E32M",0,"E31M",1129344,0.0485742,0.0292426,-0.0477475
"79",0,"E33M",0,"E10F",902407,0.0475617,0.0301992,-0.12814
"80",0,"E33M",0,"E13M",900732,0.0547099,0.0271923,-0.0228466
"81",0,"E33M",0,"E14F",925143,0.0412639,0.0341439,-0.271846
"82",0,"E33M",0,"E18F",919780,0.0698482,0.00936202,0.182566
"83",0,"E33M",0,"E19M",870357,0.0564481,0.0283998,-0.0179519
"84",0,"E33M",0,"E24M",918788,0.0526259,0.0297947,-0.0571184
"85",0,"E33M",0,"E25F",865237,0.0573739,0.0234271,0.0177454
"86",0,"E33M",0,"E27M",807884,0.0613145,0.0235603,0.0454771
"87",0,"E33M",0,"E28F",863758,0.0709307,0.000707374,0.246961
"88",0,"E33M",0,"E29M",917956,0.0700262,0.000569744,0.24558
"89",0,"E33M",0,"E30M",909760,0.0601565,0.0218222,0.0557211
"90",0,"E33M",0,"E31M",923514,0.0508525,0.0292362,-0.0652014
"91",0,"E33M",0,"E32M",882534,0.0611784,0.01277,0.114432
"92",0,"E34M",0,"E10F",1148694,0.0425109,0.0309813,-0.120777
"93",0,"E34M",0,"E13M",1146502,0.0546802,0.0176258,0.0708596
"94",0,"E34M",0,"E14F",1176659,0.0339572,0.0340031,-0.269962
"95",0,"E34M",0,"E18F",1170512,0.052712,0.0253445,-0.0244345
"96",0,"E34M",0,"E19M",1110855,0.0480261,0.0295016,-0.061164
"97",0,"E34M",0,"E24M",1169004,0.050679,0.021544,0.0269682
"98",0,"E34M",0,"E25F",1103875,0.0652655,0.000285358,0.255981
"99",0,"E34M",0,"E27M",1032698,0.0534871,0.0279055,-0.0493893
"100",0,"E34M",0,"E28F",1101522,0.0519953,0.0226242,0.00678285
"101",0,"E34M",0,"E29M",1167903,0.0504186,0.0247623,-0.0101833
"102",0,"E34M",0,"E30M",1157710,0.054055,0.0226628,-0.00149761
"103",0,"E34M",0,"E31M",1175037,0.0510588,0.0233354,0.0177177
"104",0,"E34M",0,"E32M",1124334,0.0469514,0.0250744,-0.0210994
"105",0,"E34M",0,"E33M",919269,0.0580548,0.0215291,0.0270727
"106",0,"E35M",0,"E10F",1156368,0.0537433,0.0152849,0.00910169
"107",0,"E35M",0,"E13M",1154124,0.0564359,0.028912,-0.0543442
"108",0,"E35M",0,"E14F",1184298,0.0411307,0.0392351,-0.366596
"109",0,"E35M",0,"E18F",1178067,0.0615305,0.0255291,0.0142343
"110",0,"E35M",0,"E19M",1117784,0.0535005,0.0361474,-0.11392
"111",0,"E35M",0,"E24M",1176536,0.0526274,0.0309799,-0.0925233
"112",0,"E35M",0,"E25F",1111207,0.0575536,0.0297658,-0.0553286
"113",0,"E35M",0,"E27M",1039565,0.0625925,0.028408,0.00276871
"114",0,"E35M",0,"E28F",1109059,0.0612835,0.0174256,0.0642287
"115",0,"E35M",0,"E29M",1175570,0.0596272,0.0201579,0.0317066
